symbol,industry,in_our_universe
CAMLINFINE,Speciality Chemical Companies,1
CAMPUS,Footwear Companies,1
CAMS,"Depositories, Clearing Houses and Other Intermediaries Companies",1
CANBK,Public Sector Bank Companies,1
CANFINHOME,Housing Finance Company Companies,1
CANHLIFE,Life Insurance Companies,1
CANTABIL,Garments & Apparels Companies,1
CAPACITE,Civil Construction Companies,1
CAPILLARY,Software Products Companies,1
CAPINVIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
CAPITALSFB,Other Bank Companies,1
CAPLIPOINT,Pharmaceuticals Companies,1
CAPTRUST,Non Banking Financial Company (NBFC) Companies,1
CARBORUNIV,Abrasives & Bearings Companies,1
CARERATING,Ratings Companies,1
CARRARO,Auto Components & Equipments Companies,1
CARTRADE,E-Retail/ E-Commerce Companies,1
CARYSIL,Household Appliances Companies,1
CASTROLIND,Lubricants Companies,1
CBAZAAR,E-Retail/ E-Commerce Companies,0
CCAVENUE,Financial Technology (Fintech) Companies,1
CCCL,Civil Construction Companies,1
CCHHL,Hotels & Resorts Companies,1
CCL,Tea & Coffee Companies,1
CDSL,"Depositories, Clearing Houses and Other Intermediaries Companies",1
CEATLTD,Tyres & Rubber Products Companies,1
CEIGALL,Civil Construction Companies,1
CEINSYS,IT Consulting & Software Companies,1
CELEBRITY,Textiles Companies,1
CELLECOR,Consumer Electronics Companies,0
CELLO,Houseware Companies,1
CELLPOINT,Speciality Retail Companies,0
CEMPRO,Civil Construction Companies,1
CENTENKA,Textiles Companies,1
CENTEXT,"Aluminium, Copper & Zinc Products Companies",1
CENTRALBK,Public Sector Bank Companies,1
CENTRUM,Other Financial Services Companies,1
CENTUM,Industrial Products Companies,1
CENTURYPLY,Plywood Boards/ Laminates Companies,1
CERA,Sanitary Ware Companies,1
CEREBRAINT,Computers Hardware & Equipments Companies,0
CESC,Integrated Power Utilities Companies,1
CEWATER,Waste Management Companies,1
CFF,Ship Building & Allied Services Companies,0
CGCL,Non Banking Financial Company (NBFC) Companies,1
CGPOWER,Heavy Electrical Equipment Companies,1
CGRAPHICS,Other Industrial Products Companies,0
CHALET,Hotels & Resorts Companies,1
CHAMBLFERT,Fertilizers Companies,1
CHANDAN,Healthcare Service Provider Companies,0
CHEMBOND,Speciality Chemical Companies,0
CHEMBONDCH,Speciality Chemical Companies,0
CHEMCON,Speciality Chemical Companies,0
CHEMFAB,Commodity Chemicals Companies,0
CHEMPLASTS,Commodity Chemicals Companies,1
CHENNPETRO,Refineries & Marketing Companies,1
CHETANA,Printing & Publication Companies,0
CHEVIOT,Jute & Jute Products Companies,1
CHOICEIN,Holding Company Companies,1
CHOLAFIN,Non Banking Financial Company (NBFC) Companies,1
CHOLAHLDNG,Investment Company Companies,1
CIANAGRO,Edible Oil Companies,0
CIEINDIA,Auto Components & Equipments Companies,1
CIFL,Non Banking Financial Company (NBFC) Companies,1
CIGNITITEC,IT Enabled Services Companies,0
CINELINE,"Film Production, Distribution & Exhibition Companies",1
CINEVISTA,Media & Entertainment Companies,1
CIPLA,Pharmaceuticals Companies,1
CITIUSINVT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
CITURGIA,Specialty Chemicals Companies,0
CKKRETAIL,Sugar Companies,0
CLEAN,Specialty Chemicals Companies,1
CLEANMAX,Power Generation & Distribution Companies,1
CLEDUCATE,Education Companies,0
CLSEL,Other Agricultural Products Companies,1
CLSL,Pesticides & Agrochemicals Companies,0
CMICABLES,Cables - Electricals Companies,0
CMNL,Sponge Iron Companies,0
CMPDI,Trading & Distributors Companies,1
CMRSL,Advertising & Media Agencies Companies,0
CMSINFO,Diversified Commercial Services Companies,1
CNCRD,Railway Wagons Companies,0
CNL,Trading & Distributors Companies,1
COALINDIA,Coal Companies,1
COASTCORP,Seafood Companies,1
COCHINSHIP,Ship Building & Allied Services Companies,1
COCKERILL,Industrial Products Companies,1
COFFEEDAY,Restaurants Companies,0
COFORGE,Computers - Software & Consulting Companies,1
COHANCE,Pharmaceuticals Companies,1
COLAB,IT Enabled Services Companies,0
COLPAL,Personal Care Companies,1
COMPINFO,Computers Hardware & Equipments Companies,0
COMPUSOFT,Education Companies,1
COMSYN,Packaging Companies,1
CONCOR,Logistics Solution Provider Companies,1
CONCORDBIO,Biotechnology Companies,1
CONFIPET,LPG/CNG/PNG/LNG Supplier Companies,1
CONNPLEX,"Film Production, Distribution & Exhibition Companies",0
CONSOFINVT,Asset Management Company Companies,0
CONTROLPR,Computers Hardware & Equipments Companies,1
COOLCAPS,Packaging Companies,0
CORALFINAC,Civil Construction Companies,1
CORDSCABLE,Cables - Electricals Companies,0
COROMANDEL,Fertilizers Companies,1
CORONA,Pharmaceuticals Companies,1
COSMOFIRST,Packaging Companies,1
COUNCODOS,Civil Construction Companies,1
CPCAP,Education Companies,0
CPEDU,Education Companies,1
CPML,Media & Entertainment Companies,0
CPPLUS,Industrial Products Companies,1
CPS,Garments & Apparels Companies,0
CRAFTSMAN,Auto Components & Equipments Companies,1
CRAMC,Asset Management Company Companies,1
CRAYONS,Advertising & Media Agencies Companies,0
CREATIVEYE,Media & Entertainment Companies,1
CREDITACC,Microfinance Institutions Companies,1
CREST,Stock Broking Companies,1
CRISIL,Other Financial Services Companies,1
CRIZAC,Internet & Catalogue Retail Companies,1
CROMPTON,Household Appliances Companies,1
CROWN,Industrial Machinery Companies,1
CSBBANK,Private Sector Bank Companies,1
CSLFINANCE,Other Financial Services Companies,1
CTE,IT Consulting & Software Companies,1
CUB,Private Sector Bank Companies,1
CUBEINVIT,"Road AssetsToll, Annuity, Hybrid-Annuity Companies",0
CUBEXTUB,"Aluminium, Copper & Zinc Products Companies",1
CUDML,Advertising & Media Agencies Companies,0
CUMMINSIND,"Compressors, Pumps & Diesel Engines Companies",1
CUPID,Personal Care Companies,1
CURAA,IT Consulting & Software Companies,1
CYBERMEDIA,Electronic Media Companies,0
CYBERTECH,IT Consulting & Software Companies,0
CYIENT,IT Enabled Services Companies,1
CYIENTDLM,Industrial Products Companies,1
DABUR,Personal Care Companies,1
DALBHARAT,Cement & Cement Products Companies,1
DALMIASUG,Sugar Companies,1
DAMCAPITAL,Stockbroking & Allied Companies,1
DAMODARIND,Textiles Companies,0
DANGEE,Food Processing Companies,1
DANISH,Other Electrical Equipment Companies,0
DATAMATICS,IT Enabled Services Companies,1
DATAPATTNS,Aerospace & Defense Companies,1
DAVANGERE,Diversified FMCG Companies,1
DBCORP,Print Media Companies,1
